,TradeGroup,Ticker,PM_BASE_CASE,Outlier,BASE_CASE_NAV_IMPACT_AED,BASE_CASE_NAV_IMPACT_ARB,BASE_CASE_NAV_IMPACT_CAM,BASE_CASE_NAV_IMPACT_LEV,BASE_CASE_NAV_IMPACT_LG,BASE_CASE_NAV_IMPACT_MACO,BASE_CASE_NAV_IMPACT_MALT,BASE_CASE_NAV_IMPACT_TAQ,OUTLIER_NAV_IMPACT_AED,OUTLIER_NAV_IMPACT_ARB,OUTLIER_NAV_IMPACT_CAM,OUTLIER_NAV_IMPACT_LEV,OUTLIER_NAV_IMPACT_LG,OUTLIER_NAV_IMPACT_MACO,OUTLIER_NAV_IMPACT_MALT,OUTLIER_NAV_IMPACT_TAQ
75,RCII - VINTAGE,RCII US EQUITY,13.0,13.0,-0.2,-0.2,-0.19,-0.99,-0.24,-0.2,-0.2,,-0.2,-0.2,-0.19,-0.99,-0.24,-0.2,-0.2,
76,RHT - IBM,QQQ US EQUITY,173.34,190.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.11,-0.06,-0.11,-0.14,-0.13,-0.06,-0.06,
77,RHT - IBM,RHT US 01/17/20 P170 EQUITY,123.0,123.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,
78,RHT - IBM,RHT US 09/20/19 P165 EQUITY,123.0,123.0,0.06,0.03,0.06,,0.07,0.03,0.03,,0.06,0.03,0.06,,0.07,0.03,0.03,
79,RHT - IBM,RHT US EQUITY,123.0,123.0,-1.9,-1.02,-1.83,-2.32,-2.31,-1.02,-1.02,,-1.9,-1.02,-1.83,-2.32,-2.31,-1.02,-1.02,
80,RPC LN - APO,RPC LN EQUITY,5.5,5.5,-98.88,-98.84,-95.06,,-119.75,-98.73,-98.7,,-98.88,-98.84,-95.06,,-119.75,-98.73,-98.7,
81,STI - BBT,BBT US EQUITY,48.369249999999994,66.1895,0.15,0.07,0.14,0.14,0.18,0.07,0.07,,-0.88,-0.44,-0.85,-0.82,-1.07,-0.44,-0.44,
82,STI - BBT,STI US EQUITY,54.65725249999999,54.65725249999999,-0.47,-0.24,-0.46,-0.44,-0.57,-0.24,-0.24,,-0.47,-0.24,-0.46,-0.44,-0.57,-0.24,-0.24,
83,SUM CN - MS,SUM CN EQUITY,12.0,12.0,-0.31,-0.38,-0.3,,-0.38,-0.38,-0.38,,-0.31,-0.38,-0.3,,-0.38,-0.38,-0.38,
84,TCF - CHFC,CHFC US EQUITY,44.63,58.019000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.53,-0.27,-0.51,-0.63,-0.64,-0.27,-0.27,
85,TCF - CHFC,TCF US EQUITY,17.31,17.31,-0.4,-0.2,-0.38,-0.47,-0.48,-0.2,-0.2,,-0.4,-0.2,-0.38,-0.47,-0.48,-0.2,-0.2,
86,TPZ SM - KKR,TPZ SM EQUITY,4.0,4.0,-0.12,-0.11,-0.11,-1.03,-0.14,-0.11,-0.11,,-0.12,-0.11,-0.11,-1.03,-0.14,-0.11,-0.11,
87,TRCO - NXST,TRCO US EQUITY,42.0,42.0,-0.65,-0.5,-0.63,-0.94,-0.79,-0.5,-0.5,,-0.65,-0.5,-0.63,-0.94,-0.79,-0.5,-0.5,
88,TVPT - SIRIS CAPITAL,TVPT US EQUITY,11.61,11.61,-0.43,-0.74,-0.41,-1.64,-0.52,-0.74,-0.74,-0.42,-0.43,-0.74,-0.41,-1.64,-0.52,-0.74,-0.74,-0.42
89,TWR NZ - SUN AU,TWR NZ EQUITY,0.5,0.5,,-0.06,,,,-0.06,-0.06,,,-0.06,,,,-0.06,-0.06,
90,ULTI - HELLMAN,ULTI US 04/18/19 C340 EQUITY,192.85,192.85,,0.0,,0.01,,0.0,,,,0.0,,0.01,,0.0,,
91,ULTI - HELLMAN,ULTI US EQUITY,192.85,192.85,-0.5,-0.5,-0.48,-2.49,-0.61,-0.5,-0.5,,-0.5,-0.5,-0.48,-2.49,-0.61,-0.5,-0.5,
92,USG - KNAUF,USG US EQUITY,26.0,26.0,-0.99,-0.99,-0.95,,-1.2,-0.99,-0.99,,-0.99,-0.99,-0.95,,-1.2,-0.99,-0.99,
93,VSM - ENTG,VSM US 06/21/19 P40 EQUITY,29.75,29.75,0.04,0.02,0.04,0.03,0.05,0.02,0.02,,0.04,0.02,0.04,0.03,0.05,0.02,0.02,
94,VSM - ENTG,VSM US EQUITY,29.75,29.75,-0.71,-0.71,-0.68,-2.44,-0.86,-0.71,-0.71,,-0.71,-0.71,-0.68,-2.44,-0.86,-0.71,-0.71,
95,ZCL CN - SCL CN,ZCL CN EQUITY,5.5,5.5,,-0.02,,,,-0.02,-0.02,,,-0.02,,,,-0.02,-0.02,
